full_name,surname,name,ug_degree,ug_institution,ug_grad_year,ug_subjects,m_degree,m_institution,m_grad_year,d_degree,d_institution,d_grad_year,d_subjects,current_position,dataTXT,us_state,country,coordinate location,latitude,longitude,pos_year,science,science1,science_icon,science2,science3,science4,science5,major_career
"Allen, Eleanor Bradford",Allen,Eleanor Bradford,AB,Bryn Mawr College,1914,Chemistry and Biology Office Nurse and Laboratory Assistant in Doctors Office National City Cal 1914-15; Playground Assistant at Uni- versity of California Summer Session 1916; Graduate Student in Education University of California 1915-16; Teacher of Physical Education and Physiology Miss Harker's School Palo Alto Cal 1916-17; Recreation Director The EmporiumSan Francisco 1918,NA,NA,NA,NA,NA,NA,NA,Recreation Director The Emporium San Francisco,San Francisco,California,United States of America,"37.766667,-122.433333",37.766667,-122.433333,1918,"biology, chemistry, physiology",biology,interdisciplinary,chemistry,physiology,NA,NA,major
"Allen, Frances Dean",Allen,Frances Dean,AB,Bryn Mawr College,1902,Chemistry and Biology Teacher of Mathematics and Science in Mrs Chapman and Miss Jones's School Chestnut Hill Philadelphia 1902-04; Vice-President Woman's Auxiliary to Board of Missions Christ Church Riverdale 1908-09 and President 1912-13; Volunteer Red Cross Worker 1915-17 Married 1904 Mr Frank Sutliff Harkett Five sons (one t 1908),NA,NA,NA,NA,NA,NA,NA,Volunteer Red Cross Worker,"Riverdale-on-Hudson, N. Y.",New York,United States of America,"40.910302, -73.902835",40.910302,-73.902835,1917,"biology, chemistry, mathematics",biology,interdisciplinary,chemistry,mathematics,NA,NA,major
"Allis, Mary Elizabeth",Allis,Mary Elizabeth,AB,Bryn Mawr College,1901,Mathematics and Physics Graduate Student Bryn Mawr 1902-05 Director and Secretary of Woman's Foreign Missionary Society of the Presbyterian Church U S A 1909  and Publication Secretary General Council of the Woman's Boards of Home and Foreign Missions 1918,NA,NA,NA,NA,NA,NA,NA,Director and Secretary of Woman's Foreign Missionary Society of the Presbyterian Church U S A   and Publication Secretary General Council of the Woman's Boards of Home and Foreign Missions,Philadelphia,Pennsylvania,United States of America,"39.952584, -75.165222",39.952584,-75.165222,1918,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Andrews, Lotta Grace",Andrews,Lotta Grace,AB,Bryn Mawr College,1902,Chemistry and Biology Woman's Medical of Pennsylvania 1903-07; MD 1907; Practicing Ophthalmologist 1907,NA,NA,NA,NA,NA,NA,NA,Practicing Ophthalmologist,Philadelphia,Pennsylvania,United States of America,"39.952584, -75.165222",39.952584,-75.165222,1907,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Andrews, Mary Bartow",Andrews,Mary Bartow,AB,Bryn Mawr College,1918,Chemistry and Biology Laboratory Technician Camp Dix N J 1918 Married 1919 Mr William Pitt Mason Jr,NA,NA,NA,NA,NA,NA,NA,Laboratory Technician Camp Dix New Jersey,New Jersey,New Jersey,United States of America,"40,-74.5",40,-74.5,1918,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Atkins, Emma Louise",Atkins,Emma Louise,AB,Bryn Mawr College,1894,Chemistry and Biology Graduate Student in Chemistry Bryn Mawr 1894 Volunteer Social Worker 1916-17 Married 1905 Mr Edward B Davis Two daughters,NA,NA,NA,NA,NA,NA,NA,Graduate Student in Chemistry Bryn Mawr  Volunteer Social Worker,Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,both
"Atkinson, Mary Janney",Atkinson,Mary Janney,AB,Bryn Mawr College,1895,Chemistry and Biology Married 1895 Mr George Watson Two daughters (one f 1900),NA,NA,NA,NA,NA,NA,NA,NA,"Doylestown, Pa.",Pennsylvania,United States of America,"40.310106, -75.129894",40.310106,-75.129894,1890,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,both
"Bacon, Margaret Howell",Bacon,Margaret Howell,AB,Bryn Mawr College,1918,Psychology and Biology,NA,NA,NA,NA,NA,NA,NA,Volunteer Y W C A Work,"Germantown, Philadelphia",Pennsylvania,United States of America,"40.028521, -75.174967",40.028521,-75.174967,1913,biology,biology,biology,NA,NA,NA,NA,major
"Baker, Eugenia Griffin",Baker,Eugenia Griffin,AB,Bryn Mawr College,1914,English and Comparative Literature Athletic Director and Instructor in Geometry and Physiology Rose- mary Hall 1914-15; and Teacher of Science 1919-; Tutor in Miss Spence's School New York City 1918-19 Married 1916 Lieutenant Henry Herbert Jessup U S Army One son,NA,NA,NA,NA,NA,NA,NA,Tutor in Miss Spence's School New York City,New York City,New York,United States of America,"40.67,-73.94",40.67,-73.94,1919,physiology,physiology,physiology,NA,NA,NA,NA,major
"Baker, Pleasaunce",Baker,Pleasaunce,AB,Bryn Mawr College,1909,Chemistry and Biology Student Academy of Fine Arts Philadelphia 1909-12; Interior Decorator 1911-12; Volunteer Suffrage Worker 1915-17; Volunteer Worker on Crop Census Florida 1917-18; Visitor After-Care Department A R C Home Service Section 1918-19; Relief Worker Mission Anglo-Americaine de la Soci6t6 des Amis Paris 1919  Married 1919 Mr Arthur Bowker Parsons,NA,NA,NA,NA,NA,NA,NA,Relief Worker Mission AngloAmericaine de la Socit des Amis Paris,Paris,NA,France,"48.856613, 2.352222",48.856613,2.352222,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Balch, Marion Casares",Balch,Marion Casares,AB,Bryn Mawr College,1902,Chemistry and Biology Teacher of Latin and Science St Agnes School Albany N Y 1904-05 and of Science 1905-07; Laboratory Worker in Bacteriology Harvard Medical School 1910-12; Student School for Social Workers Boston 1913-14; Volunteer Social and War Worker 1914-19,NA,NA,NA,NA,NA,NA,NA,Volunteer Social and War Worker,"Jamaica Plain, MA",Massachusetts,United States of America,"42.309736, -71.115143",42.309736,-71.115143,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Barber, Helen Dorothy",Barber,Helen Dorothy,AB,Bryn Mawr College,1912,Mathematics and Physics Teacher in hliss Wheeler's School Providence R I 1912-15 in the James John High School Portland 1915-16 and in Miss Catlin's School Portland 1916- 18; Teacher of English and Science in the Country School Roland Park Md 1918- 19 and of Mathematics in the Cambridge School Cambridge 1919  Married 1918 Mr Paul Mattesot One daughter,NA,NA,NA,NA,NA,NA,NA,Teacher of English and Science in the Country School Roland Park Maryland and of Mathematics in the Cambridge School Cambridge,Baltimore,Maryland,United States of America,"39.290386, -76.612190",39.290386,-76.61219,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,both
"Beardwood, Alice",Beardwood,Alice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teacher of Latin and Mathematics in Flagler Preparatory School Jacksonville Fla  and in Southfield Point School Stamford Connecticut,Stamford,Connecticut,United States of America,"41.096666666667,-73.552222222222",41.09666667,-73.55222222,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,career
"Becker, Amanda Fredericka",Becker,Amanda Fredericka,NA,NA,NA,NA,AM,NA,1902,NA,NA,NA,NA,Teacher of Mathematics in the Yeatman High School St Louis Mo  and in the Soldan High School St Louis,St. Louis,Missouri,United States of America,"38.616666666667,-90.2",38.61666667,-90.2,1911,mathematics,mathematics,mathematics,NA,NA,NA,NA,career
